ал;епымуло;омола;йыдийос мпс;омола мпс;йыдийос ппс;омола ппс;бахлос
SR000094;епымуло 0094;омола 0094;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;4.1
SR000094;епымуло 0094;омола 0094;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;7.5
SR000094;епымуло 0094;омола 0094;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000094;епымуло 0094;омола 0094;ICE1-5001;басеис дедолемым ии;P1-4010;басеис дедолемым ии;8.6
SR000096;епымуло 0096;омола 0096;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000097;епымуло 0097;омола 0097;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;8.6
SR000097;епымуло 0097;омола 0097;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;7.5
SR000101;епымуло 0101;омола 0101;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;0.3
SR000101;епымуло 0101;омола 0101;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;0.3
SR000101;епымуло 0101;омола 0101;ICE1-1006;жусийг;P1-1060;жусийг;9.7
SR000101;епымуло 0101;омола 0101;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR000101;епымуло 0101;омола 0101;ICE1-4005;сведиасг ьгжиайым сустглатым;P1-4050;сведиасг ьгжиайым сустглатым;1.1
SR000102;епымуло 0102;омола 0102;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;8.6
SR000102;епымуло 0102;омола 0102;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;0.3
SR000102;епымуло 0102;омола 0102;ICE1-6005;йатамелглема сустглата;P1-9325;йатамелглема сустглата;8.6
SR000103;епымуло 0103;омола 0103;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;10
SR000103;епымуло 0103;омола 0103;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;0.3
SR000103;епымуло 0103;омола 0103;ICE1-5006;еисацыцг стом паяаккгко упокоцисло;P1-5040;еисацыцг стом паяаккгко упокоцисло;3.4
SR000103;епымуло 0103;омола 0103;ICE1-6003;летацкыттистес;P1-6020;летацкыттистес;6.8
SR000103;епымуло 0103;омола 0103;ICE1-6006;ьгжиайес епийоимымиес;P1-5320;ьгжиайес епийоимымиес;1.4
SR000108;епымуло 0108;омола 0108;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;0.3
SR000108;епымуло 0108;омола 0108;ICE1-7302;асжакеиа дийтуым йаи епийоимымиым;P1-6310;диавеияисг йаи асжакеиа дийтуым;3.4
SR000108;епымуло 0108;омола 0108;ICE1-8107;гкейтяомийо елпояио - епивеияглатийотгта;P1-9160;гкейтяомийо елпояио - епивеияглатийотгта;6.8
SR000110;епымуло 0110;омола 0110;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;8.1
SR000110;епымуло 0110;омола 0110;ICE1-3005;кеитоуяцийа сустглата и;P1-3050;кеитоуяцийа сустглата и;3.4
SR000110;епымуло 0110;омола 0110;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;2.9
SR000110;епымуло 0110;омола 0110;ICE1-8101;аккгкепидяасг амхяыпоу-упокоцистг;P1-5120;аккгкепидяасг амхяыпоу-упокоцистг;1
SR000111;епымуло 0111;омола 0111;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;1.8
SR000112;епымуло 0112;омола 0112;ICE1-1005;диайяита лахглатийа;P1-1050;диайяита лахглатийа;7.5
SR000112;епымуло 0112;омола 0112;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;8.6
SR000112;епымуло 0112;омола 0112;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;6.8
SR000112;епымуло 0112;омола 0112;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;10
SR000112;епымуло 0112;омола 0112;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;8.6
SR000112;епымуло 0112;омола 0112;ICE1-6003;летацкыттистес;P1-6020;летацкыттистес;4.1
SR000113;епымуло 0113;омола 0113;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;1.1
SR000113;епымуло 0113;омола 0113;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;1.1
SR000113;епымуло 0113;омола 0113;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;8.6
SR000113;епымуло 0113;омола 0113;ICE1-5002;дийтуайос пяоцяаллатислос;P1-5110;дийтуайос пяоцяаллатислос;0.3
SR000113;епымуло 0113;омола 0113;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;2.9
SR000113;епымуло 0113;омола 0113;ICE1-7404;дийаио йаи йубеямогхийг;P1-9025;дийаио йаи йубеямогхийг;3.2
SR000114;епымуло 0114;омола 0114;ICE1-6001;тевмокоциа коцислийоу;P1-5010;тевмокоциа коцислийоу;3.4
SR000116;епымуло 0116;омола 0116;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;0.3
SR000116;епымуло 0116;омола 0116;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;10
SR000118;епымуло 0118;омола 0118;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;3.5
SR000118;епымуло 0118;омола 0118;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;0.3
SR000118;епымуло 0118;омола 0118;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;10
SR000118;епымуло 0118;омола 0118;ICE1-4003;кеитоуяцийа сустглата ии;P1-4030;кеитоуяцийа сустглата ии;6.8
SR000118;епымуло 0118;омола 0118;ICE1-5001;басеис дедолемым ии;P1-4010;басеис дедолемым ии;8.6
SR000118;епымуло 0118;омола 0118;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;0.3
SR000122;епымуло 0122;омола 0122;ICE1-1001;лахглатийг амакусг I;P1-1010;лахглатийг амакусг;10
SR000122;епымуло 0122;омола 0122;ICE1-2002;пихамотгтес йаи статистийг;P1-2020;пихамотгтес йаи статистийг;8.6
SR000122;епымуло 0122;омола 0122;ICE1-4002;дийтуа упокоцистым ии;P1-4020;дийтуа упокоцистым ии;1.8
SR000122;епымуло 0122;омола 0122;ICE1-5003;амакусг йаи сведиаслос пкгяожояиайым сустглатым;P1-5020;амакусг йаи сведиаслос пкгяожояиайым сустглатым;9.7
SR000122;епымуло 0122;омола 0122;ICE1-5004;тевмгтг моглосумг;P1-5030;тевмгтг моглосумг;3.7
SR000122;епымуло 0122;омола 0122;ICE1-5005;ьгжиайг епенеяцасиа сглатос;P1-5220;ьгжиайг епенеяцасиа сглатос;10
SR000122;епымуло 0122;омола 0122;ICE1-5006;еисацыцг стом паяаккгко упокоцисло;P1-5040;еисацыцг стом паяаккгко упокоцисло;0.3
SR000122;епымуло 0122;омола 0122;ICE1-7001;тевмокоциа упокоцистийым сустглатым;P1-5210;тевмокоциа упокоцистийым сустглатым;8.6
SR000123;епымуло 0123;омола 0123;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;7.5
SR000123;епымуло 0123;омола 0123;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;0.3
SR000123;епымуло 0123;омола 0123;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;10
SR000128;епымуло 0128;омола 0128;ICE1-7101;сведиаслос йаи амаптунг пкгяожояиайым сустглатым;P1-6110;сведиаслос йаи амаптунг пкгяожояиайым сустглатым;10
SR000130;епымуло 0130;омола 0130;ICE1-1006;жусийг;P1-1060;жусийг;8.5
SR000130;епымуло 0130;омола 0130;ICE1-2001;сведиасг йаи амакусг акцояихлым;P1-2050;сведиасг йаи амакусг акцояихлым;10
SR000130;епымуло 0130;омола 0130;ICE1-2005;ьгжиайг сведиасг;P1-2010;ьгжиайг сведиасг;0.3
SR000130;епымуло 0130;омола 0130;ICE1-2006;хеыяиа йуйкылатым;P1-2060;хеыяиа йуйкылатым;8.6
SR000131;епымуло 0131;омола 0131;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;1.8
SR000131;епымуло 0131;омола 0131;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;3.5
SR000133;епымуло 0133;омола 0133;ICE1-3004;дийтуа упокоцистым и;P1-3040;дийтуа упокоцистым и;10
SR000133;епымуло 0133;омола 0133;ICE1-4004;леходокоциес амаптунгс ежаялоцым;P1-4040;леходокоциес амаптунгс ежаялоцым;10
SR000135;епымуло 0135;омола 0135;ICE1-1002;цяаллийг акцебяа;P1-1020;цяаллийг акцебяа;8.6
SR000135;епымуло 0135;омола 0135;ICE1-1003;еисацыцг стгм епистглг тым упокоцистым;P1-1030;еисацыцг стгм епистглг тым упокоцистым;7.4
SR000135;епымуло 0135;омола 0135;ICE1-3001;акцояихлои йаи покупкойотгта;P1-3010;акцояихлои йаи покупкойотгта;10
SR000135;епымуло 0135;омола 0135;ICE1-3003;долес дедолемым;P1-2030;долес дедолемым;3.5
SR000135;епымуло 0135;омола 0135;ICE1-4001;басеис дедолемым и;P1-3030;басеис дедолемым и;8.6
